"R","G","B"
0,0.286,0.549
0,0.322,0.549
0,0.361,0.557
0,0.396,0.569
0,0.431,0.58
0,0.467,0.592
0,0.498,0.604
0,0.533,0.62
0,0.565,0.627
0,0.596,0.639
0,0.624,0.651
0,0.655,0.659
0,0.682,0.671
0,0.71,0.678
0,0.733,0.686
0.169,0.757,0.694
0.267,0.78,0.702
0.341,0.804,0.71
0.404,0.824,0.718
0.459,0.843,0.722
0.51,0.863,0.729
0.561,0.878,0.741
0.604,0.894,0.749
0.647,0.91,0.757
0.686,0.922,0.769
0.725,0.937,0.776
0.761,0.945,0.788
0.796,0.957,0.8
0.827,0.965,0.812
0.859,0.973,0.827
0.882,0.98,0.839
0.91,0.984,0.855
0.929,0.992,0.871
0.949,0.996,0.886
0.969,0.996,0.902
0.98,1,0.918
0.992,1,0.933
1,1,0.953
1,1,0.973
1,1,1
