"R","G","B"
1,1,1
1,1,0.973
1,0.996,0.953
1,0.992,0.937
1,0.984,0.922
1,0.976,0.91
1,0.965,0.894
1,0.953,0.882
1,0.941,0.871
1,0.925,0.863
1,0.91,0.851
1,0.89,0.843
1,0.875,0.835
1,0.855,0.831
1,0.831,0.824
1,0.812,0.82
1,0.788,0.816
1,0.765,0.812
1,0.741,0.808
1,0.714,0.808
0.988,0.69,0.804
0.969,0.663,0.8
0.949,0.635,0.796
0.925,0.608,0.792
0.898,0.58,0.788
0.867,0.553,0.784
0.835,0.525,0.776
0.8,0.498,0.769
0.765,0.471,0.761
0.725,0.443,0.749
0.682,0.416,0.737
0.635,0.388,0.725
0.588,0.365,0.71
0.533,0.337,0.694
0.478,0.314,0.675
0.416,0.29,0.659
0.345,0.271,0.639
0.259,0.247,0.624
0.118,0.231,0.608
0,0.216,0.596
