"R","G","B"
0.071,0.18,0.604
0,0.243,0.604
0,0.298,0.616
0,0.341,0.627
0,0.388,0.643
0,0.427,0.655
0,0.467,0.671
0,0.506,0.686
0,0.541,0.698
0,0.576,0.71
0,0.608,0.718
0,0.639,0.729
0,0.671,0.737
0,0.698,0.745
0,0.725,0.749
0.157,0.753,0.757
0.239,0.776,0.761
0.31,0.8,0.765
0.369,0.824,0.769
0.424,0.843,0.773
0.475,0.863,0.776
0.525,0.882,0.78
0.573,0.898,0.784
0.616,0.914,0.788
0.659,0.925,0.796
0.698,0.937,0.804
0.737,0.949,0.808
0.776,0.961,0.816
0.808,0.969,0.827
0.839,0.976,0.835
0.871,0.984,0.847
0.898,0.988,0.863
0.922,0.992,0.875
0.941,0.996,0.89
0.961,1,0.902
0.976,1,0.918
0.988,1,0.937
0.996,1,0.953
1,1,0.973
1,1,1
