# XKCD color survey colors
# https://blog.xkcd.com/2010/05/03/color-survey-results/
greyish green:              #82a67d
chocolate:                  #3d1c02
blue violet:                #5d06e9
cornflower:                 #6a79f7
baby pink:                  #ffb7ce
charcoal:                   #343837
pine green:                 #0a481e
pumpkin:                    #e17701
greenish brown:             #696112
red brown:                  #8b2e16
brownish green:             #6a6e09
tangerine:                  #ff9408
salmon pink:                #fe7b7c
aqua green:                 #12e193
raspberry:                  #b00149
greyish purple:             #887191
rose pink:                  #f7879a
neon pink:                  #fe019a
cobalt blue:                #030aa7
orange brown:               #be6400
deep red:                   #9a0200
orange red:                 #fd411e
dirty yellow:               #cdc50a
orchid:                     #c875c4
reddish pink:               #fe2c54
reddish purple:             #910951
yellow orange:              #fcb001
light cyan:                 #acfffc
sky:                        #82cafc
light magenta:              #fa5ff7
pale red:                   #d9544d
emerald:                    #01a049
dark beige:                 #ac9362
ugly green:                 #7a9703
jade:                       #1fa774
greenish grey:              #96ae8d
dark salmon:                #c85a53
purplish pink:              #ce5dae
dark aqua:                  #05696b
brownish orange:            #cb7723
light olive green:          #a4be5c
light aqua:                 #8cffdb
clay:                       #b66a50
medium green:               #39ad48
burnt umber:                #a0450e
dull blue:                  #49759c
pale brown:                 #b1916e
emerald green:              #028f1e
brownish:                   #9c6d57
mud:                        #735c12
dark rose:                  #b5485d
brownish red:               #9e3623
pink purple:                #db4bda
pinky purple:               #c94cbe
camo green:                 #526525
faded green:                #7bb274
dusty pink:                 #d58a94
purple pink:                #e03fd8
vomit green:                #89a203
deep green:                 #02590f
reddish orange:             #f8481c
mahogany:                   #4a0100
aubergine:                  #3d0734
dull pink:                  #d5869d
evergreen:                  #05472a
dark sky blue:              #448ee4
very light green:           #d1ffbd
pastel pink:                #ffbacd
grey purple:                #826d8c
very light blue:            #d5ffff
dark mauve:                 #874c62
cadet blue:                 #4e7496
ice blue:                   #d7fffe
light tan:                  #fbeeac
dirty green:                #667e2c
neon blue:                  #04d9ff
wine red:                   #7b0323
chocolate brown:            #411900
dull purple:                #84597e
yellow brown:               #b79400
denim:                      #3b638c
eggshell:                   #ffffd4
jungle green:               #048243
dark peach:                 #de7e5d
poop:                       #7f5e00
umber:                      #b26400
light lavender:             #dfc5fe
bright yellow:              #fffd01
golden yellow:              #fec615
dusty blue:                 #5a86ad
electric green:             #21fc0d
lighter green:              #75fd63
slate grey:                 #59656d
teal green:                 #25a36f
marine blue:                #01386a
avocado:                    #90b134
terra cotta:                #c9643b
dusty purple:               #825f87
light maroon:               #a24857
reddish:                    #c44240
dark lilac:                 #9c6da5
dark periwinkle:            #665fd1
bluish grey:                #748b97
puke yellow:                #c2be0e
purplish:                   #94568c
ultramarine:                #2000b1
barney purple:              #a00498
forest:                     #0b5509
pea soup:                   #929901
brownish yellow:            #c9b003
bright teal:                #01f9c6
bluegreen:                  #017a79
green brown:                #544e03
blurple:                    #5539cc
light sky blue:             #c6fcff
periwinkle blue:            #8f99fb
pale violet:                #ceaefa
true blue:                  #010fcc
green grey:                 #77926f
grey brown:                 #7f7053
dark olive green:           #3c4d03
apricot:                    #ffb16d
faded purple:               #916e99
cerise:                     #de0c62
khaki green:                #728639
burnt red:                  #9f2305
light forest green:         #4f9153
violet blue:                #510ac9
pale lavender:              #eecffe
acid green:                 #8ffe09
purple grey:                #866f85
lemon:                      #fdff52
bright orange:              #ff5b00
soft green:                 #6fc276
blush:                      #f29e8e
yellowish brown:            #9b7a01
fluorescent green:          #08ff08
electric purple:            #aa23ff
steel:                      #738595
dull orange:                #d8863b
muddy green:                #657432
marigold:                   #fcc006
ocean:                      #017b92
light mauve:                #c292a1
bordeaux:                   #7b002c
light blue green:           #7efbb3
yellowish:                  #faee66
